País,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano,Continente
Noruega,1127,0,1028,1120,0,0,0,0,0,0,1063,0,2009,Europa
Polônia,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
Portugal,5303,3202,4264,4646,2966,2201,2254,2814,2152,2570,3372,3493,2009,Europa
República Tcheca,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
Rússia,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
Suécia,1869,1228,1223,1080,0,0,0,0,0,0,0,0,2009,Europa
Suíça,1763,1210,1100,1100,0,0,0,0,0,1380,0,0,2009,Europa
Outros,0,1190,1215,0,0,0,0,0,0,0,0,0,2009,Europa
Austrália,1302,1799,1407,0,0,0,0,0,0,1066,0,1039,2009,Oceania
Nova Zelândia,0,0,0,0,0,0,0,0,0,0,0,0,2009,Oceania
Outros,0,0,0,0,0,0,0,0,0,0,0,0,2009,Oceania
África do Sul,85,127,143,98,97,55,42,107,133,126,136,366,2010,África
Angola,2203,1653,1698,1092,1283,832,1258,1595,1028,1121,837,1300,2010,África
Cabo Verde,4,6,16,12,20,7,20,13,6,6,20,16,2010,África
Nigéria,6,23,197,30,42,16,17,27,35,20,41,14,2010,África
Outros,227,320,686,389,260,189,224,171,179,175,188,324,2010,África
Costa Rica,139,78,197,148,201,179,230,152,182,211,250,158,2010,América Central
Cuba,103,84,91,56,100,75,111,94,72,78,55,95,2010,América Central
Panamá,43,38,84,97,117,74,72,194,80,150,139,103,2010,América Central
Porto Rico,72,91,87,68,106,148,58,98,81,127,116,94,2010,América Central
Outros,116,153,511,237,311,281,308,391,263,360,346,230,2010,América Central
Canadá,1013,1216,1636,796,720,599,1028,962,654,800,817,1423,2010,América do Norte
Estados Unidos,11916,14224,15919,15786,10481,17417,12915,18206,9839,13870,16277,19246,2010,América do Norte
México,456,716,716,702,678,540,667,693,599,758,754,988,2010,América do Norte
Argentina,22258,17247,24378,15188,11924,6552,12902,11418,10624,15008,10620,16919,2010,América do Sul
Bolívia,59,77,88,108,64,103,150,90,95,32,46,100,2010,América do Sul
Chile,7015,8909,3994,3369,3917,3693,4684,3902,4974,6184,4260,5456,2010,América do Sul
Colômbia,783,710,829,628,555,691,681,602,635,642,566,1007,2010,América do Sul
Equador,291,366,557,590,422,353,561,932,425,427,409,289,2010,América do Sul
Guiana Francesa,0,1,0,0,0,0,0,0,0,0,0,0,2010,América do Sul
Paraguai,454,257,334,161,216,224,284,422,288,376,516,741,2010,América do Sul
Peru,904,1026,1377,988,1172,848,1313,1176,820,1014,683,903,2010,América do Sul
República da Guiana,3,3,4,3,3,4,0,3,0,4,1,3,2010,América do Sul
Suriname,0,0,0,0,0,0,0,1,1,3,1,0,2010,América do Sul
Uruguai,774,1001,2265,816,764,780,1005,1189,1540,1837,1339,1043,2010,América do Sul
Venezuela,622,1283,1044,820,807,662,762,1335,1096,1047,869,1325,2010,América do Sul
China,376,502,535,417,567,658,480,547,652,500,557,916,2010,Ásia
Índia,122,216,307,126,140,207,137,178,148,153,340,464,2010,Ásia
Israel,509,1153,619,289,237,210,315,282,366,444,408,819,2010,Ásia
Japão,366,670,350,392,573,396,354,709,756,498,373,399,2010,Ásia
República da Coréia,135,208,259,145,194,188,127,187,184,93,252,360,2010,Ásia
Outros,247,651,845,398,619,399,349,402,457,353,340,518,2010,Ásia
Alemanha,3441,5533,4817,1328,1805,1778,2301,3649,7578,3998,5423,3631,2010,Europa
Áustria,359,427,888,362,337,243,399,323,350,418,424,534,2010,Europa
Bélgica,379,615,615,454,404,366,735,461,632,851,576,735,2010,Europa
Dinamarca,667,733,777,307,275,373,576,360,378,482,483,654,2010,Europa
Espanha,2857,3743,4616,1578,2133,1892,2964,2340,2831,2699,3469,4281,2010,Europa
Finlândia,259,249,312,122,195,171,145,140,158,169,286,453,2010,Europa
França,5013,7238,5877,4841,4076,3156,6082,5713,3022,5139,4296,7757,2010,Europa
Grécia,198,236,223,136,130,85,162,247,123,273,103,311,2010,Europa
Holanda,1175,1054,1234,729,694,625,1435,743,835,933,820,1147,2010,Europa
Hungria,143,197,172,94,143,80,61,67,64,97,161,127,2010,Europa
Inglaterra,4753,5284,6361,1713,2076,3053,4387,5436,7824,4293,7255,5039,2010,Europa
Irlanda,386,567,473,315,340,350,419,446,502,535,365,592,2010,Europa
Itália,4292,3333,3992,1830,1561,1619,2337,4309,1960,2683,3020,5394,2010,Europa
Noruega,871,1117,1412,700,486,545,513,621,1028,824,894,1023,2010,Europa
Polônia,349,541,292,182,155,139,187,253,310,388,534,357,2010,Europa
Portugal,3142,3403,4799,2972,2314,1912,2188,2796,2060,3061,3090,4905,2010,Europa
República Tcheca,123,260,311,123,80,94,88,56,130,205,221,110,2010,Europa
Rússia,506,677,473,346,376,205,307,343,288,378,505,1028,2010,Europa
Suécia,962,1195,1034,376,304,422,346,337,528,743,840,1467,2010,Europa
Suíça,979,943,1219,824,649,450,1044,489,596,881,796,1684,2010,Europa
Outros,814,1290,1286,535,615,331,550,635,628,645,1002,1154,2010,Europa
Austrália,856,2468,884,888,833,577,474,634,689,845,609,1186,2010,Oceania
Nova Zelândia,93,312,179,367,298,314,191,198,226,156,137,205,2010,Oceania
Outros,1,6,9,10,9,0,4,1,9,16,1,3,2010,Oceania
